Rank,Player_Name,Country_Code,Total_Matches,Win-Loss,Win-Loss_Percentage,Service_Points_Won_Percentage,Ace_Rate_Percentage,Double_Fault_Rate,First_Serves_In_Percentage,First_Serve_Points_Won_Percentage,Second_Serve_Points_Won_Percentage,Service_Games_Won_Percentage,Points_Per_Service_Game,Points_Lost_Per_Service_Game
44,Lorenzo Sonego,ITA,46,21-25,45.7%,66.2%,7.7%,2.6%,66.4%,73.9%,51.1%,84.6%,6.3,2.1
45,Luciano Darderi,ITA,49,20-29,40.8%,62.2%,7.6%,3.6%,59.7%,69.8%,51.0%,77.0%,6.5,2.5
46,Miomir Kecmanovic,SRB,53,25-28,47.2%,65.0%,5.8%,2.6%,61.4%,73.3%,51.8%,81.5%,6.3,2.2
47,David Goffin,BEL,39,21-18,53.8%,59.7%,6.1%,3.7%,58.3%,68.3%,47.7%,71.0%,6.6,2.7
48,Pedro Martinez,ESP,49,18-31,36.7%,58.3%,2.4%,4.9%,70.0%,63.7%,45.8%,69.2%,6.5,2.7
49,Roberto Bautista Agut,ESP,46,23-23,50.0%,61.9%,3.1%,2.9%,65.8%,67.3%,51.4%,77.5%,6.6,2.5
50,Zizou Bergs,BEL,52,29-23,55.8%,64.9%,8.4%,3.8%,60.9%,73.4%,51.6%,80.8%,6.2,2.2
51,Camilo Ugo Carabelli,ARG,26,12-14,46.2%,58.6%,3.7%,3.8%,62.8%,67.9%,42.9%,69.2%,6.6,2.7
52,Quentin Halys,FRA,33,16-17,48.5%,67.4%,15.0%,4.7%,58.2%,79.7%,50.3%,85.7%,6.3,2.0
53,Tomas Martin Etcheverry,ARG,55,25-30,45.5%,64.4%,8.4%,2.1%,63.3%,72.8%,49.8%,81.7%,6.5,2.3
54,Gabriel Diallo,CAN,32,16-16,50.0%,64.0%,9.1%,3.1%,67.0%,71.1%,49.6%,81.0%,6.5,2.3
55,Jacob Fearnley,GBR,22,11-11,50.0%,63.0%,7.5%,5.5%,60.2%,71.2%,50.6%,78.5%,6.4,2.4
56,Fabian Marozsan,HUN,50,23-27,46.0%,63.4%,6.7%,3.0%,63.2%,70.8%,50.7%,79.0%,6.5,2.4
